taxon.name	variable	type	covariate	posterior.prob.neg.slope	standard.linear.model	in.95CI	mean	median	sd	mad	q2.5	q97.5	rhat	ess bulk	ess tail
Camassia scilloides	slope	first onset (Ok1): N=500	Latitude	0.88925			-0.879712953691075	-0.8728065	0.744311168131386	0.7431058068	-2.34415175	0.604538025	1.00094905145045	3358.26092348378	3073.27803488968
Camassia scilloides	slope	first onset (Ok1): N=500	Elevation	0.09925			0.0099639395421225	0.00983615	0.00766332149814834	0.007658333235	-0.00489460775	0.024792015	1.00289017214151	4803.96952814943	2784.99852590802
Camassia scilloides	slope	first onset (Ok1): N=500	Year	1			-0.11907249605	-0.1195795	0.024193431782636	0.0245303583	-0.16619885	-0.071862115	1.00035246496902	3912.11558654703	3062.69042042689
Camassia scilloides	slope	first onset (Ok1): N=500	AnnualMonthlyAverageTemp	0.09125			1.5535288009485	1.5677	1.14956550790687	1.155679287	-0.726099025	3.77962	1.00113121940442	2318.64630476504	2830.7081475289
Camassia scilloides	slope	first onset (Ok1): N=500	FirstQuarterMonthlyAverageTemp	0.992			-1.33134144645	-1.331475	0.532475385714085	0.5223385125	-2.373572	-0.27280005	1.0022013656501	2919.13730552613	2616.16237086075
Camassia scilloides	slope	last cessation (CkN): N=500	SpringMonthlyAverageTemp	1			-3.133354178	-3.12087	0.718198401521924	0.716347842	-4.53882075	-1.7265435	1.00074070354972	5372.58992928853	3161.41948872108
Camassia scilloides	slope	last cessation (CkN): N=500	Latitude	0.0235			1.51769574130853	1.516545	0.781329106396287	0.7982548203	0.019078805	3.012458	1.00075848076011	4590.69591667624	3374.85963602025
Camassia scilloides	slope	last cessation (CkN): N=500	Elevation	0			0.0557853246	0.0555768	0.00848973899558597	0.00863080764	0.0397553625	0.0720242275	1.0006856220639	5387.39653281786	3163.76974874301
Camassia scilloides	slope	last cessation (CkN): N=500	Year	0.99425			-0.067496612442825	-0.0674149	0.0257460487157156	0.02518900335	-0.119818475	-0.0165488975	1.00033840543311	5072.07177544526	3229.76804518203
Camassia scilloides	slope	last cessation (CkN): N=500	AnnualMonthlyAverageTemp	0.23			0.89876253991125	0.882142	1.23309900481501	1.21791134787	-1.45389225	3.3356785	1.00057332310129	3433.07758473956	2977.58222173338
